Facility Type,Visit Date,Average Time Spent
Hospital,2026-03-24,48
Clinic,2026-03-24,59
Hospital,2026-03-24,28.67
Clinic,2026-03-23,18.5
Hospital,2026-03-23,45.67
Hospital,2026-03-23,39
Clinic,2026-03-22,33.75
Specialty Center,2026-03-22,35.2
Specialty Center,2026-03-21,47
Specialty Center,2026-03-21,53
Specialty Center,2026-03-21,46.33
Hospital,2026-03-20,51.5
Clinic,2026-03-20,56
Hospital,2026-03-19,37.5
Clinic,2026-03-19,50.33
Hospital,2026-03-19,23.75
Clinic,2026-03-18,41
Specialty Center,2026-03-18,43
Specialty Center,2026-03-18,51.5
